timestamp,month,day,year,time,age,mar,sex,chi,cou,urb,edu,med,wor,sec,occ,foc,hom,iin,hin,srh,dan,gov,hyg,cre,int,anc,sto,chr,cov,n,sur1,sur2,sur3,sur4,sur5,sur6,sur7,sur8,sur9,sur10,sur11,sur12,sur13,sur14,sur15,sur16,sur17,sur18,sur19,sur20,sur21,sur22,sur23,sur24,sur25,sur26,sur27,sur28,sur29,sur30
4/13/2020 15:12:08,4,13,2020,15:12:08,19,Single,Female,I have no children.,BALIKESİR,Urban,Two-year degree or equivalent,High school,Student,Education,"Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Partially,1500 - 3000,1500 - 3000,Good,I definitely think so,"No, I don't think",Same,Decreased a lot,Same,Yes,No,No,No,,Low,Low,Moderate,Moderate,None,Moderate,Moderate,None,Moderate,None,Low,Moderate,Moderate,Moderate,None,None,Moderate,Low,None,None,Moderately,A little,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,Extremely,Quite a bit
4/13/2020 15:13:50,4,13,2020,15:13:50,22,Single,Female,I have no children.,İZMİR,Urban,Graduate,High school,Student,Education,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Yes,1500 - 3000,1500 - 3000,Good,I don't know; I'm uncertain,I definitely don't think so,Increased,Increased,Increased,Yes,No,No,No,,High,Moderate,Low,None,Low,High,Low,Low,High,Low,Moderate,Low,Low,Low,Low,Low,Moderate,None,None,None,A little,Very slightly or not at all,A little,Moderately,Moderately,A little,Moderately,A little,A little,Quite a bit
4/13/2020 15:14:55,4,13,2020,15:14:55,21,Single,Female,I have no children.,BALIKESİR,Urban,Graduate,High school,Student,Education,"Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)","Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)",Partially,3000 - 6000,3000 - 6000,Good,"Yes, I think","Yes, I think",Increased,Same,Decreased,Yes,No,Yes,No,,Moderate,Low,Low,None,Low,Low,None,Low,Low,Low,Low,Low,None,Low,Low,Low,Low,None,None,Low,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Extremely,Very slightly or not at all,Extremely,Extremely,Moderately,Very slightly or not at all
4/13/2020 15:16:22,4,13,2020,15:16:22,39,Single,Man,I have a child/children in the 6-13 age range.,İSTANBUL,Urban,Graduate,Primary school,Retired,Other,"Occupations related to the armed forces (Ranked Armed Forces Personnel, Police Force Members, Other Law Enforcement Personnel)","Staff working in office services (Clerks, Customer Service Officers, Digital and Material Registrars, etc)",No,1500 - 3000,6000 - 12000,Very good,"No, I don't think","No, I don't think",Increased,Same,Same,Yes,Yes,No,No,,High,High,None,None,Moderate,Low,Low,Low,Low,Low,High,None,None,None,Moderate,Low,None,None,None,Moderate,Very slightly or not at all,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely
4/13/2020 15:17:35,4,13,2020,15:17:35,22,Single,Man,I have no children.,İZMİR,Urban,Graduate,High school,Student,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Executives (Senior Officials and Legislators, Administrative and Commercial Executives, etc)",Partially,24000 and above,24000 and above,Very good,"Yes, I think",I definitely don't think so,Same,Decreased,Increased,Yes,No,Yes,No,,High,Moderate,Low,None,High,None,Low,High,Low,High,High,None,None,None,High,High,None,Moderate,High,High,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Extremely,Quite a bit,Quite a bit,Extremely,Extremely
4/13/2020 15:19:26,4,13,2020,15:19:26,29,Single,Female,I have no children.,İSTANBUL,Urban,Graduate,Graduate,Full-time employee,Industry,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Yes,6000 - 12000,6000 - 12000,Very good,"No, I don't think",I don't know; I'm uncertain,Same,Same,Same,Yes,Yes,No,No,,Moderate,Moderate,None,None,Moderate,None,Low,Moderate,Low,Moderate,Moderate,None,None,None,Moderate,Low,Low,None,Low,Moderate,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all
4/13/2020 15:24:20,4,13,2020,15:24:20,31,Single,Man,I have no children.,MALATYA,Urban,"Postgraduate Education (Master's, Doctorate)",Graduate,Student,Other,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Partially,1500 - 3000,1500 - 3000,Neither good nor bad,I definitely think so,"No, I don't think",Same,Same,Same,Yes,No,Yes,No,,Low,Low,None,Low,Low,None,Low,Low,None,Low,High,None,None,None,Moderate,Low,None,None,Low,Low,A little,Very slightly or not at all,Very slightly or not at all,A little,A little,A little,A little,A little,A little,A little
4/13/2020 15:27:28,4,13,2020,15:27:28,28,Single,Female,I have no children.,MALATYA,Urban,"Postgraduate Education (Master's, Doctorate)",Primary school,Unemployed,Other,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",Yes,0 - 1500,1500 - 3000,Kötü,I definitely think so,I don't know; I'm uncertain,Same,Same,Same,Yes,Yes,No,No,,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Low,None,Low,Low,Moderate,Low,Low,Low,Moderately,A little,Quite a bit,Quite a bit,Moderately,Quite a bit,A little,Moderately,Moderately,Moderately
4/13/2020 15:29:15,4,13,2020,15:29:15,34,Married,Man,I have a child/children in the 2-6 age range.,ANTALYA,Urban,"Postgraduate Education (Master's, Doctorate)",None,Full-time employee,Other,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)","Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)",Yes,12000 - 24000,12000 - 24000,Good,"Yes, I think",I don't know; I'm uncertain,Increased,Increased,Increased,Yes,Yes,No,No,,Moderate,Moderate,None,None,Moderate,None,Low,Low,Low,Low,Low,None,None,None,Low,Moderate,Low,Low,Low,Moderate,A little,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,A little
4/13/2020 15:29:55,4,13,2020,15:29:55,23,Single,Man,I have no children.,İZMİR,Urban,Graduate,Graduate,Student,Other,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Partially,6000 - 12000,6000 - 12000,Good,"Yes, I think","No, I don't think",Increased,Increased,Increased,Yes,Yes,No,No,,Moderate,Moderate,None,Low,Moderate,Low,High,Low,Moderate,Low,High,Low,None,Low,Low,Moderate,Low,None,Moderate,Moderate,A little,Moderately,Very slightly or not at all,Very slightly or not at all,Extremely,Moderately,Extremely,A little,Extremely,A little
4/13/2020 15:30:55,4,13,2020,15:30:55,31,Married,Man,I have no children.,İSTANBUL,Urban,Graduate,High school,Full-time employee,Other,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Yes,24000 and above,12000 - 24000,Very good,I definitely think so,"No, I don't think",Increased a lot,Decreased,Same,Yes,Yes,No,No,,Moderate,Low,Low,None,Low,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,None,Low,Low,Low,Moderate,Low,Low,Moderate,A little,A little,A little,A little,A little,Very slightly or not at all,A little,A little,A little,Moderately
4/13/2020 15:32:38,4,13,2020,15:32:38,22,Single,Man,I have no children.,İZMİR,Urban,Graduate,Graduate,Student,Service,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Partially,3000 - 6000,6000 - 12000,Good,I don't know; I'm uncertain,I don't know; I'm uncertain,Increased,Decreased,Same,Yes,No,No,No,,Low,Low,Moderate,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,None,Low,A little,Quite a bit,Moderately,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,Extremely,Extremely
4/13/2020 15:33:24,4,13,2020,15:33:24,52,Married,Female,"I have a child/children in the 13-18 age range., I have a child/children aged 19 and over.",İZMİR,Urban,High school,None,Unemployed,Other,"Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Yes,0 - 1500,0 - 1500,Good,I don't know; I'm uncertain,I don't know; I'm uncertain,Increased a lot,Increased,Increased,Yes,Yes,Yes,No,,Low,Moderate,Low,None,Low,Low,Low,None,Low,Low,Low,None,None,None,Low,Moderate,None,None,None,Low,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all
4/13/2020 15:35:03,4,13,2020,15:35:03,21,Single,Female,I have no children.,TRABZON,Rural,Graduate,High school,Student,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Skilled agricultural, forestry and aquaculture workers",Yes,3000 - 6000,3000 - 6000,Good,I definitely think so,"No, I don't think",Increased a lot,Increased a lot,Increased a lot,Yes,Yes,Yes,No,,Low,Low,Moderate,Moderate,None,Low,Moderate,None,Moderate,None,None,None,None,None,None,Low,Low,None,None,None,Extremely,Extremely,Extremely,Quite a bit,Quite a bit,Moderately,Quite a bit,Extremely,Extremely,Quite a bit
4/13/2020 15:37:25,4,13,2020,15:37:25,23,Single,Man,I have no children.,İZMİR,Urban,Graduate,Graduate,Student,Other,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Partially,6000 - 12000,6000 - 12000,Good,"Yes, I think","No, I don't think",Increased,Increased,Increased,Yes,Yes,No,No,,Moderate,Moderate,None,Low,Moderate,Low,High,Low,Moderate,Low,High,Low,None,Low,Low,Moderate,Low,None,Moderate,Moderate,A little,Moderately,Very slightly or not at all,Very slightly or not at all,Extremely,Moderately,Extremely,A little,Extremely,A little
4/13/2020 15:37:49,4,13,2020,15:37:49,21,Single,Female,I have no children.,İZMİR,Urban,Two-year degree or equivalent,Graduate,Student,Education,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Partially,6000 - 12000,6000 - 12000,Good,I definitely think so,I don't know; I'm uncertain,Increased,Same,Increased,Yes,Yes,No,No,,Low,Low,Low,Low,None,High,High,None,Moderate,None,Low,Low,Low,Moderate,None,None,High,None,None,Low,A little,Very slightly or not at all,A little,A little,Quite a bit,A little,Moderately,Moderately,Moderately,Moderately
4/13/2020 15:40:06,4,13,2020,15:40:06,32,Single,Female,I have no children.,ESKİŞEHİR,Urban,Graduate,High school,Full-time employee,Other,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Occupations related to the armed forces (Ranked Armed Forces Personnel, Police Force Members, Other Law Enforcement Personnel)",Yes,6000 - 12000,6000 - 12000,Good,"Yes, I think","No, I don't think",Increased,Decreased,Decreased,Yes,Yes,No,No,,Low,Low,High,Low,None,Moderate,Low,None,Low,None,Low,High,Low,High,None,None,Low,None,None,None,Moderately,A little,Moderately,Moderately,A little,Moderately,A little,A little,A little,Moderately
4/13/2020 15:40:19,4,13,2020,15:40:19,31,Single,Man,I have no children.,İZMİR,Urban,"Postgraduate Education (Master's, Doctorate)",Primary school,Full-time employee,Service,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)","Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)",Partially,6000 - 12000,3000 - 6000,Good,I definitely think so,I don't know; I'm uncertain,Increased,Decreased,Same,Yes,No,No,No,,Moderate,Moderate,Low,Low,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,None,None,None,Low,Moderate,Moderate,Low,Low,Low,A little,Very slightly or not at all,A little,A little,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately
4/13/2020 15:43:41,4,13,2020,15:43:41,21,Single,Female,I have no children.,İZMİR,Urban,Two-year degree or equivalent,High school,Retired,Other,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)","Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)",No,0 - 1500,1500 - 3000,Kötü,"Yes, I think","No, I don't think",Increased,Same,Increased,Yes,Yes,Yes,No,,Low,None,Low,None,None,Low,Low,None,Moderate,None,None,Low,None,Low,None,Low,Low,None,None,None,Moderately,Very slightly or not at all,A little,A little,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,A little
4/13/2020 15:44:48,4,13,2020,15:44:48,20,Single,Female,I have no children.,TEKİRDAĞ,Urban,Graduate,Primary school,Student,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Partially,1500 - 3000,3000 - 6000,Good,"Yes, I think",I don't know; I'm uncertain,Decreased a lot,Decreased a lot,Decreased,Yes,No,Yes,No,,Low,None,Low,Moderate,None,Low,High,None,Moderate,None,None,Low,Low,Low,None,Low,Moderate,Low,None,None,Moderately,Moderately,Extremely,Extremely,A little,Extremely,Quite a bit,Extremely,Extremely,Extremely
4/13/2020 15:45:22,4,13,2020,15:45:22,31,Single,Man,I have no children.,İSTANBUL,Urban,Graduate,Two-year degree or equivalent,Unemployed,Other,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)","Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",No,0 - 1500,12000 - 24000,Very good,I definitely think so,"No, I don't think",Increased a lot,Same,Same,Yes,Yes,No,No,,High,Moderate,None,None,Low,Moderate,Low,None,Low,Low,High,None,None,None,None,Low,None,None,None,Low,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all
4/13/2020 15:45:31,4,13,2020,15:45:31,28,Single,Female,I have no children.,ANKARA,Urban,"Postgraduate Education (Master's, Doctorate)",Graduate,Full-time employee,Other,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Yes,6000 - 12000,3000 - 6000,Good,"Yes, I think","No, I don't think",Increased a lot,Increased,Increased,Yes,Yes,No,No,,Low,Low,Low,None,Low,Low,Moderate,None,Low,None,Low,Low,None,Low,None,None,Low,None,None,None,Moderately,A little,Moderately,Moderately,Quite a bit,A little,A little,Moderately,Moderately,Moderately
4/13/2020 15:48:26,4,13,2020,15:48:26,30,Married,Man,I have no children.,MALATYA,Urban,Graduate,Primary school,Part-time employee,Construction,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",No,1500 - 3000,3000 - 6000,Very good,I don't know; I'm uncertain,"No, I don't think",Increased,Increased,Same,Yes,No,No,No,,Low,Moderate,None,Low,Moderate,Low,Low,Moderate,Low,Low,Moderate,Low,None,None,Low,Moderate,Low,None,Low,Low,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,A little,Very slightly or not at all,A little
4/13/2020 15:49:16,4,13,2020,15:49:16,25,Single,Female,I have no children.,GAZİANTEP,Urban,Graduate,Primary school,Full-time employee,Other,"Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)","Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)",Yes,1500 - 3000,1500 - 3000,Neither good nor bad,I definitely think so,I don't know; I'm uncertain,Increased,Increased a lot,Increased a lot,Yes,Yes,Yes,No,,Low,None,Low,Low,None,Low,Moderate,None,Moderate,None,None,Low,Low,Moderate,None,None,Moderate,None,None,None,Moderately,Moderately,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit
4/13/2020 15:50:09,4,13,2020,15:50:09,48,Married,Man,I have no children.,IĞDIR,Rural,Graduate,Primary school,Full-time employee,Other,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",No,6000 - 12000,6000 - 12000,Good,"Yes, I think","Yes, I think",Increased a lot,Decreased,Increased,Yes,No,No,No,,Moderate,Moderate,Low,None,Low,Low,None,Low,Low,Low,Moderate,None,None,None,Low,Low,None,None,Low,Low,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all
4/13/2020 15:51:15,4,13,2020,15:51:15,26,Single,Female,I have no children.,IĞDIR,Rural,Graduate,Primary school,Full-time employee,Service,"Staff working in office services (Clerks, Customer Service Officers, Digital and Material Registrars, etc)","Skilled agricultural, forestry and aquaculture workers",No,3000 - 6000,3000 - 6000,Good,"Yes, I think",I definitely think so,Increased,Same,Same,Yes,No,No,No,,High,Low,None,None,Low,Low,High,Low,Low,Low,High,None,None,None,Low,Low,Low,None,Low,Low,Moderately,Quite a bit,Moderately,Moderately,A little,Moderately,Moderately,Moderately,Moderately,Moderately
